source_name,channel_type,date,ad_spend,impressions,clicks,leads,revenue
Facebook Ads,ads,2024-05-17,1389.01,149779,8784,4774,14868.29
Official Website,web,2023-07-19,4082.5,321087,27674,522,7813.96
Word of Mouth,referral,2024-06-26,1691.65,644246,5825,1245,17529.91
Email Campaign,email,2024-05-16,4536.5,991307,11949,128,11107.98
Google Ads,ads,2024-10-11,7029.34,906007,30893,4490,9052.46
Word of Mouth,referral,2024-05-06,5229.01,247051,31271,269,16302.54
HH.ru,job,2023-01-21,4453.5,641931,34353,1208,5249.44
Telegram Channel,social,2023-08-22,2072.41,889987,32751,2159,17273.62
HH.ru,job,2024-12-14,3204.45,98377,6681,2442,11007.17
Word of Mouth,referral,2024-10-04,1901.29,357320,5321,969,18051.13
Facebook Ads,ads,2024-02-20,8267.49,110898,25645,2958,4431.44
Google Ads,ads,2023-05-28,2217.16,767320,16227,575,18753.23
Google Ads,ads,2023-01-29,6358.36,239234,5132,4112,13913.6
University Ads,ads,2023-12-27,4084.66,609564,39294,4973,12557.41
Google Ads,ads,2023-11-04,3033.81,651062,36877,2389,8730.32
Email Campaign,email,2023-06-11,6755.22,406371,15195,3460,19148.14
Google Ads,ads,2023-03-02,5113.02,820004,21807,454,9156.43
Word of Mouth,referral,2023-05-05,4601.31,524300,21927,3549,10221.59
University Ads,ads,2024-03-31,6335.67,987198,30720,2718,15739.21
Word of Mouth,referral,2023-03-12,5421.41,338658,6407,2345,6054.43
Word of Mouth,referral,2024-04-10,3731.36,741393,35996,1045,6184.16
VK Group,social,2023-08-31,6031.55,185915,37169,3054,15618.3
University Ads,ads,2024-05-04,7025.49,881399,6127,1296,3007.31
Word of Mouth,referral,2023-08-09,1240.24,45357,48528,1468,16547.81
VK Group,social,2024-04-17,5192.85,913126,45113,2230,12690.91
VK Group,social,2024-06-16,1519.15,950671,48248,1640,11012.13
University Ads,ads,2024-05-08,2677.65,867910,17430,4037,4967.63
HH.ru,job,2023-03-23,6044.58,553271,3540,3126,15834.18
Facebook Ads,ads,2024-06-05,8795.7,569564,1645,2964,16196.59
Email Campaign,email,2023-01-12,8945.25,271728,45712,4842,9917.37
Facebook Ads,ads,2023-09-20,1629.5,448495,31580,4522,8088.8
Google Ads,ads,2024-10-18,4771.95,200555,32897,273,5300.16
Email Campaign,email,2024-03-24,6247.06,224185,42531,4209,15207.56
Google Ads,ads,2023-07-11,2323.63,343595,31044,230,12969.31
Word of Mouth,referral,2023-04-24,7888.89,405261,28436,343,4529.31
Telegram Channel,social,2023-01-26,7698.12,886148,36547,4523,15992.13
University Ads,ads,2024-05-13,9130.07,378887,14864,1334,17703.0
Email Campaign,email,2024-05-22,1076.37,314488,21631,2692,1655.32
Email Campaign,email,2024-06-28,2950.16,805996,225,970,15562.2
Word of Mouth,referral,2023-03-03,8444.68,807537,37776,1490,17129.64
HH.ru,job,2023-08-17,7035.22,853186,28532,445,19834.4
VK Group,social,2024-08-29,9049.51,386213,6742,2451,5133.23
Word of Mouth,referral,2023-02-04,1514.62,554344,41713,52,7734.56
Avito.ru,ads,2024-12-05,6372.68,597853,32215,975,19340.73
VK Group,social,2024-03-31,6121.42,647385,24625,4116,2333.3
University Ads,ads,2024-08-10,1321.07,57689,46516,225,10712.3
VK Group,social,2024-05-16,5621.7,304279,41800,3245,10381.52
HH.ru,job,2024-08-17,6485.68,246557,40821,4330,12327.68
VK Group,social,2023-01-25,2721.64,304956,24966,2715,6950.46
University Ads,ads,2024-07-22,3459.97,651061,11283,782,18555.4
HH.ru,job,2023-02-01,6763.13,997551,31190,1832,5766.19
Facebook Ads,ads,2023-01-12,5214.71,425988,10869,4121,13169.06
Email Campaign,email,2023-11-15,8722.12,353101,11031,3165,10170.58
Email Campaign,email,2024-08-26,4081.44,364796,18177,3290,5700.13
Google Ads,ads,2023-01-01,3399.94,279919,38755,67,4182.65
Facebook Ads,ads,2024-03-10,9863.79,233554,25995,4956,19152.96
Facebook Ads,ads,2023-05-16,9200.22,326667,2921,3699,11445.18
VK Group,social,2023-07-15,1260.93,676067,31836,4753,12281.72
Email Campaign,email,2023-05-13,7936.56,285516,14854,1853,15766.46
University Ads,ads,2023-03-27,1993.01,116252,48893,470,2083.92
Official Website,web,2024-04-20,1247.37,726886,16318,3670,14418.4
Official Website,web,2023-11-20,3463.26,861538,44289,978,3720.23
HH.ru,job,2023-06-29,3424.11,63475,1495,3825,14939.38
Email Campaign,email,2024-05-30,8373.87,655602,4061,2749,3255.91
Email Campaign,email,2024-09-29,7396.01,400958,35482,299,16733.63
Official Website,web,2023-06-24,9834.48,133502,47921,3295,13779.82
Email Campaign,email,2023-01-21,7403.62,591489,23354,1130,8024.86
VK Group,social,2023-04-15,4764.3,955461,18028,742,7497.27
Avito.ru,ads,2024-07-31,7290.35,761174,38093,3586,3404.47
Telegram Channel,social,2024-03-18,9995.13,590531,12193,3792,18129.04
Facebook Ads,ads,2023-02-18,7391.28,919796,14802,4681,2811.32
Google Ads,ads,2024-06-11,7855.13,512599,45557,4947,9705.51
HH.ru,job,2023-05-25,9445.29,739112,26456,2801,5112.11
Avito.ru,ads,2023-12-06,2022.86,347686,8086,2048,19928.39
Official Website,web,2023-12-20,7343.06,699353,26826,3528,11923.96
Facebook Ads,ads,2023-03-16,8657.25,534189,47528,3865,3416.9
Email Campaign,email,2024-07-31,9589.41,699376,12760,4068,13517.5
Google Ads,ads,2024-09-28,2898.72,690714,7134,4445,19836.38
Email Campaign,email,2023-11-15,5535.36,58637,42505,3527,12298.34
University Ads,ads,2023-03-28,7124.99,129714,13680,2166,9418.89
University Ads,ads,2024-07-06,3227.21,660868,43028,2887,6218.77
Google Ads,ads,2024-11-28,6404.26,900434,17580,1077,2296.41
Google Ads,ads,2023-02-11,3318.21,486718,1304,4447,4950.8
Official Website,web,2023-04-03,4001.11,932352,42980,3060,11295.61
Google Ads,ads,2024-11-27,4973.67,576961,24431,3930,15198.82
VK Group,social,2024-12-27,5762.71,677143,3683,1137,17619.65
Email Campaign,email,2024-05-21,5044.29,74694,16356,4077,15977.39
Avito.ru,ads,2024-06-12,5438.76,645980,44199,1000,2946.57
Word of Mouth,referral,2023-09-22,3687.3,989369,7639,3496,15582.47
Google Ads,ads,2024-09-17,2430.69,766802,44479,4737,11841.29
HH.ru,job,2023-10-19,1426.15,588195,34906,1435,9647.6
University Ads,ads,2024-04-08,2763.81,978173,22410,1467,11668.9
VK Group,social,2024-07-13,6237.49,414140,8323,3464,657.47
Facebook Ads,ads,2023-04-07,8075.04,342322,10260,1061,1820.74
Word of Mouth,referral,2023-04-05,2523.23,80732,19458,2597,10754.06
Avito.ru,ads,2023-11-22,1977.0,479907,31439,3267,3885.58
Word of Mouth,referral,2023-03-15,7743.61,816584,11622,2252,11138.05
Google Ads,ads,2023-12-02,3746.42,18072,36436,4877,7407.16
Official Website,web,2023-03-09,9563.49,615789,27601,881,18194.53
University Ads,ads,2023-03-18,7428.86,904424,28114,137,19018.83
University Ads,ads,2023-07-27,3940.8,185759,44182,115,19605.79
Facebook Ads,ads,2023-08-09,3605.88,762886,8398,1416,18029.29
Official Website,web,2023-09-19,5713.29,31942,301,3804,19724.87
Email Campaign,email,2024-02-14,1712.3,515579,8056,3430,14269.87
Telegram Channel,social,2023-11-27,2059.09,974921,7485,2371,19230.57
VK Group,social,2023-12-10,2582.72,102379,6107,3604,13014.95
University Ads,ads,2023-03-15,7972.51,988763,34662,1010,16279.68
HH.ru,job,2024-09-28,5624.72,277634,1508,3441,3072.24
University Ads,ads,2024-11-30,1095.1,687079,1016,4489,13810.69
Word of Mouth,referral,2023-09-11,7061.65,976704,7878,4122,18656.51
University Ads,ads,2023-11-28,4813.21,835116,42744,1403,11030.94
University Ads,ads,2024-02-02,5597.67,291038,47308,1881,4142.98
Telegram Channel,social,2023-12-11,2927.05,434053,6446,1099,10774.33
Telegram Channel,social,2024-08-06,5966.04,786273,48737,4991,14285.35
Avito.ru,ads,2024-10-29,9812.38,381974,36034,4176,15510.88
Email Campaign,email,2024-03-30,1661.0,849244,40212,3142,10712.19
HH.ru,job,2023-04-25,3555.26,732642,16548,4549,4738.68
University Ads,ads,2023-11-09,3186.98,755967,36518,3026,18570.43
University Ads,ads,2023-08-16,3236.94,476922,14815,2540,15585.54
VK Group,social,2023-09-02,4408.36,240009,39266,3325,5778.42
Telegram Channel,social,2024-06-09,8362.99,721492,34883,3902,16330.35
HH.ru,job,2024-06-11,9215.73,219497,25997,2574,7283.32
Facebook Ads,ads,2024-03-02,2819.94,856593,48808,1403,6592.41
Avito.ru,ads,2023-02-11,5886.55,291248,36892,3102,17329.99
Email Campaign,email,2024-04-09,6732.09,124863,22798,2755,17528.09
Official Website,web,2024-09-13,5696.45,418356,41672,730,8270.39
Email Campaign,email,2023-10-05,4906.69,365416,8943,4336,673.99
Word of Mouth,referral,2023-01-19,2727.78,919950,45873,3607,4138.03
University Ads,ads,2023-03-07,5393.97,542440,31651,4969,18231.28
Avito.ru,ads,2023-06-16,4610.93,582774,34255,3775,18025.61
Word of Mouth,referral,2024-08-07,8160.07,750637,27542,3159,9340.22
HH.ru,job,2024-02-07,7872.44,374840,26796,3890,6430.28
Official Website,web,2024-02-13,2205.99,834579,21663,4668,6403.59
Telegram Channel,social,2023-04-22,1796.67,228962,23082,4874,17995.3
Avito.ru,ads,2023-10-01,9173.39,936170,22963,299,6832.3
Avito.ru,ads,2024-02-11,5819.58,235011,4863,4028,10475.82
University Ads,ads,2024-01-08,8720.21,249214,27871,404,14754.72
Google Ads,ads,2024-08-19,1523.36,306870,32298,385,4584.88
Avito.ru,ads,2024-10-12,5738.64,114983,20593,4887,5449.86
VK Group,social,2023-02-08,5854.84,451905,5635,2149,7482.21
Official Website,web,2023-04-15,8746.32,973620,32619,1984,13257.36
Official Website,web,2023-11-20,1878.49,115652,12120,2468,16441.07
VK Group,social,2024-02-18,3164.01,605708,29845,4511,11160.76
Facebook Ads,ads,2024-03-04,4658.84,87848,31006,2689,3092.11
VK Group,social,2024-09-26,8792.57,919660,35996,3619,9201.79
VK Group,social,2024-12-30,9449.95,772492,21350,2210,2989.97
Official Website,web,2023-03-02,9934.52,750894,37953,4406,2221.79
Email Campaign,email,2024-09-03,9632.74,931324,11397,422,11997.53
Official Website,web,2023-11-03,1053.48,407538,49789,1388,19146.14
Google Ads,ads,2023-12-20,1429.38,572523,26883,1103,16833.43
University Ads,ads,2024-01-28,2328.46,120629,16357,4696,15602.19
Word of Mouth,referral,2023-07-23,4139.76,900238,38866,720,14677.59
Email Campaign,email,2023-09-15,8469.26,594249,46891,3460,17993.99
Telegram Channel,social,2024-04-30,9033.91,262139,44237,3496,15180.28
Word of Mouth,referral,2024-05-31,2681.51,60356,30186,4902,12724.11
University Ads,ads,2024-03-21,6576.98,639041,24163,3509,7611.26
Google Ads,ads,2024-12-09,9256.26,528275,43382,3237,2468.41
Google Ads,ads,2023-06-29,5173.59,821355,30084,1621,9490.15
Telegram Channel,social,2023-12-08,1931.89,388035,18521,740,18533.29
Email Campaign,email,2023-05-13,5120.32,622766,42022,619,11870.46
Facebook Ads,ads,2024-03-18,4382.15,43750,1343,2350,4097.83
VK Group,social,2023-09-10,6198.92,370013,42929,1477,13155.95
Email Campaign,email,2023-09-22,4947.93,510443,21963,1568,9576.51
Facebook Ads,ads,2023-04-03,1156.11,254365,32437,2529,18661.91
Google Ads,ads,2024-10-23,9945.98,360592,34521,239,3638.33
Official Website,web,2024-02-15,5891.86,262415,24788,4462,14384.23
University Ads,ads,2023-05-18,5262.68,400186,8074,550,13791.25
Telegram Channel,social,2023-07-27,9591.56,818415,9591,2884,19679.06
University Ads,ads,2024-09-28,2402.74,908165,2404,945,11515.79
HH.ru,job,2024-07-26,2703.14,490826,29100,3102,17495.69
HH.ru,job,2023-11-03,8272.13,515916,23404,3656,981.92
Email Campaign,email,2023-09-23,3347.48,905528,11598,2702,2896.39
Google Ads,ads,2024-10-07,8193.04,409121,12438,4632,7245.8
Google Ads,ads,2023-11-14,3443.8,327627,3914,3079,12576.88
VK Group,social,2023-04-23,1298.69,821460,24896,4728,9257.05
VK Group,social,2024-01-13,5653.13,472825,27319,2908,4452.58
VK Group,social,2024-03-29,2770.18,193118,30025,3417,11989.47
Official Website,web,2023-07-10,7820.62,274378,12609,4529,11550.63
Word of Mouth,referral,2024-03-15,6770.8,746169,37906,1908,10726.73
Avito.ru,ads,2023-07-06,9312.42,214239,48893,13,2265.84
Word of Mouth,referral,2024-01-02,8046.9,327155,13465,4574,18577.0
University Ads,ads,2023-03-30,2626.98,788403,30426,4769,12048.98
Word of Mouth,referral,2023-07-06,8201.42,126135,36649,3635,5647.84
Official Website,web,2023-05-12,6775.63,153133,34826,2944,13904.65
University Ads,ads,2024-09-26,7020.56,59253,39209,4643,6699.21
Word of Mouth,referral,2024-07-13,8490.37,661222,9324,2417,10364.19
Official Website,web,2024-01-11,6164.42,623642,5182,2577,7152.07
Avito.ru,ads,2024-11-21,5194.03,578955,20806,1106,17667.68
Word of Mouth,referral,2024-11-22,6729.77,330940,40169,1995,19882.62
Official Website,web,2023-04-09,3681.62,891330,47143,3159,3643.05
VK Group,social,2023-02-03,2643.37,122042,15475,1367,959.79
Google Ads,ads,2024-08-04,6549.29,74065,31034,88,4776.79
VK Group,social,2023-06-20,3104.64,348530,27859,1584,12004.06
Google Ads,ads,2024-01-01,1719.24,564926,29626,1615,3892.05
Telegram Channel,social,2023-02-28,1004.99,92455,19712,4261,16323.95
Telegram Channel,social,2023-06-30,6474.87,427100,17959,4985,8469.08
Telegram Channel,social,2023-01-19,4259.34,762376,35275,2996,12405.39
Avito.ru,ads,2023-08-14,7770.8,171769,24027,37,9384.55
VK Group,social,2024-04-17,4376.59,617908,46113,1920,18114.89
Google Ads,ads,2023-04-05,5374.03,658631,44027,4715,1185.14
Official Website,web,2023-10-24,4663.76,236909,38283,1362,14721.39
University Ads,ads,2024-08-15,6855.17,541402,35113,3744,13217.36
Official Website,web,2023-06-24,4205.25,564838,22173,428,13165.54
University Ads,ads,2023-08-10,9673.91,934973,20821,4127,8572.79
HH.ru,job,2024-09-06,9425.32,450987,6672,270,805.67
Official Website,web,2023-02-23,8632.25,278636,4050,2117,13940.19
Word of Mouth,referral,2024-11-25,9282.7,243720,19142,2994,16674.69
Word of Mouth,referral,2024-02-07,5042.26,274115,10106,4301,2161.99
Email Campaign,email,2023-11-14,5827.87,187422,40353,914,9111.54
VK Group,social,2023-12-15,7678.83,675004,19767,2236,3670.6
University Ads,ads,2024-03-18,7265.31,757065,17780,3863,12413.29
University Ads,ads,2024-08-02,9016.11,860626,27831,4430,15819.3
VK Group,social,2024-06-23,7446.98,485848,34515,577,13500.78
Avito.ru,ads,2023-10-09,9980.96,898391,47913,788,6702.17
Email Campaign,email,2023-12-26,4136.55,910078,9456,935,3224.79
Avito.ru,ads,2024-09-22,8496.98,153606,40960,3248,15988.23
Avito.ru,ads,2024-10-07,7278.71,678128,22113,3489,6816.38
Avito.ru,ads,2024-10-02,7222.48,294769,3344,1625,931.73
VK Group,social,2023-01-08,3932.52,507992,23671,1859,11642.71
Avito.ru,ads,2024-07-16,8070.42,825092,36893,1953,5310.21
Word of Mouth,referral,2024-05-05,9103.38,740536,11992,2380,16903.52
Telegram Channel,social,2023-12-07,2966.94,30032,41562,51,3293.48
HH.ru,job,2024-04-16,6629.47,992439,13977,3200,8978.62
University Ads,ads,2024-11-17,4529.21,441108,22854,4679,5436.04
University Ads,ads,2024-11-25,9905.93,495341,20688,1830,13947.23
HH.ru,job,2024-12-04,5309.5,209451,41870,450,11196.35
VK Group,social,2023-09-06,3054.88,558645,23738,113,15924.26
Official Website,web,2023-08-23,4436.72,485728,885,578,9442.95
VK Group,social,2023-03-24,6884.55,272641,327,466,593.76
University Ads,ads,2023-04-03,1684.8,405350,5047,320,4696.33
University Ads,ads,2024-01-29,6432.42,159905,7577,1917,19983.56
HH.ru,job,2023-09-25,9381.02,474164,17311,1717,8404.23
Avito.ru,ads,2024-02-21,8653.27,960170,49630,3465,12594.58
VK Group,social,2024-09-23,1609.06,721960,13994,1701,18146.17
Google Ads,ads,2024-08-05,9940.51,341972,28487,4512,900.22
HH.ru,job,2024-06-12,7288.54,365067,10317,2902,13362.34
Word of Mouth,referral,2023-09-10,2460.53,893794,47588,590,6123.35
University Ads,ads,2023-05-02,1111.74,141098,39124,2025,5945.34
HH.ru,job,2023-01-10,2541.54,808540,11656,4065,4884.6
VK Group,social,2023-11-12,8543.58,921029,11668,2654,16543.22
University Ads,ads,2023-09-30,1194.75,548758,27014,1870,7772.48
Official Website,web,2023-11-02,3098.33,301929,25804,3694,1808.77
HH.ru,job,2023-07-29,7815.75,405469,22566,3885,2388.6
Email Campaign,email,2024-12-30,6274.99,992042,8582,3301,3397.98
University Ads,ads,2024-04-08,8044.62,468105,20032,3241,18029.09
VK Group,social,2024-12-12,7715.35,816458,7788,196,8835.15
Telegram Channel,social,2024-12-28,1455.41,456023,159,2953,18362.96
Google Ads,ads,2024-12-17,9032.6,990382,38299,4037,16440.85
Facebook Ads,ads,2024-02-20,3043.29,185330,28877,1632,16838.71
Avito.ru,ads,2023-08-04,5980.53,760170,19154,2521,6093.22
Facebook Ads,ads,2023-03-21,6798.59,449363,47292,2387,5790.63
VK Group,social,2024-04-24,2517.65,317561,3439,1900,11421.33
Word of Mouth,referral,2024-06-30,9786.08,904211,19273,4595,8649.54
Word of Mouth,referral,2023-01-18,5393.4,516513,32682,289,10426.68
Telegram Channel,social,2023-06-14,1518.78,404302,36522,864,1537.48
Avito.ru,ads,2024-06-08,9435.36,951910,46055,407,19446.01
Email Campaign,email,2023-07-21,6276.41,110319,27168,4533,1634.29
Telegram Channel,social,2023-12-12,7292.74,621275,38416,3513,3987.21
Facebook Ads,ads,2024-01-01,5726.58,85443,21586,4480,13724.91
Telegram Channel,social,2024-03-23,8512.64,646526,30741,3881,3532.28
Facebook Ads,ads,2024-05-27,1298.2,101838,19146,3805,2583.96
University Ads,ads,2023-11-15,3415.41,934588,16685,641,3495.6
Word of Mouth,referral,2023-08-05,5226.84,920219,7187,3046,1707.44
University Ads,ads,2023-02-03,1689.43,881815,46202,4802,5400.72
Google Ads,ads,2023-09-23,7353.16,325637,41530,937,5786.83
Avito.ru,ads,2024-10-01,4542.97,294949,40811,2037,10223.13
Email Campaign,email,2024-12-24,3454.01,333930,36224,1675,9055.09
Facebook Ads,ads,2023-03-21,1030.41,24248,28430,87,9737.41
Email Campaign,email,2024-11-07,7478.47,211075,43416,4593,12512.77
Facebook Ads,ads,2024-02-17,8504.28,166456,36841,3251,5003.75
VK Group,social,2023-09-09,4555.36,143968,13120,1071,3126.73
Telegram Channel,social,2023-01-12,6077.96,937866,43643,3371,17638.13
Google Ads,ads,2024-02-05,3049.18,881480,4571,4276,12861.86
Word of Mouth,referral,2024-12-24,6599.78,96175,27222,4747,1682.93
Facebook Ads,ads,2023-10-09,1109.24,721392,3223,1709,19240.51
Email Campaign,email,2023-04-22,5397.8,857454,11433,301,14014.84
Google Ads,ads,2024-12-23,6797.85,355398,38871,590,3458.24
Official Website,web,2024-01-13,9263.73,887061,3890,4527,19398.12
Official Website,web,2023-09-25,4432.02,754358,32136,4210,7625.44
University Ads,ads,2023-10-25,7886.71,748568,39389,889,19697.95
Word of Mouth,referral,2023-11-13,6379.18,936441,35978,1492,2513.87
VK Group,social,2024-07-23,9343.11,581679,25023,2305,3619.4
Email Campaign,email,2024-05-23,4585.4,121011,1701,3454,13319.68
Telegram Channel,social,2024-06-29,3871.86,235151,11888,1139,931.8
Telegram Channel,social,2023-12-31,8984.28,359711,21407,324,864.45
Email Campaign,email,2024-06-30,1443.2,792475,27229,618,15943.67
Avito.ru,ads,2023-09-28,2227.47,441912,12812,3935,3771.72
VK Group,social,2024-04-18,1741.64,457170,22403,3002,18416.4
Google Ads,ads,2024-06-20,8587.99,485833,46615,2596,8804.98
Facebook Ads,ads,2023-08-22,1095.47,283370,16104,2129,17536.22
Avito.ru,ads,2023-02-28,8754.91,26858,20262,387,8646.39
Facebook Ads,ads,2023-09-08,5061.41,251544,41381,143,10839.49
Facebook Ads,ads,2023-03-27,1036.23,722208,28337,3255,6672.03
Avito.ru,ads,2024-01-25,4614.81,646781,10589,1826,13332.49
University Ads,ads,2023-06-29,2681.21,704660,16663,4498,6704.92
Official Website,web,2024-12-19,6619.6,706830,20449,3145,4851.82
Facebook Ads,ads,2023-05-29,7114.23,690473,46159,4520,2080.42
Avito.ru,ads,2024-08-05,5387.75,249828,28243,1146,1624.55
Avito.ru,ads,2023-05-01,1364.68,717456,48905,1761,6466.5
HH.ru,job,2024-08-27,6905.16,556304,15785,4971,14861.23
University Ads,ads,2023-09-13,8578.35,267826,26709,299,4509.59
Word of Mouth,referral,2023-11-05,7482.92,474136,41797,1516,6334.94
HH.ru,job,2023-02-28,8469.62,945254,36587,1348,18150.84
HH.ru,job,2023-03-10,2804.59,27445,49306,2901,12963.57
Email Campaign,email,2024-03-21,8999.99,497656,11217,4983,18434.59
Official Website,web,2024-01-23,3899.74,438291,23141,1994,18268.91
Avito.ru,ads,2023-03-27,1120.64,288835,26109,761,1736.51
Official Website,web,2023-08-15,8590.52,891042,44702,3599,19122.68
VK Group,social,2024-08-15,9476.39,740084,19778,758,1497.97
Email Campaign,email,2024-09-17,6900.02,166932,36723,374,18549.57
Word of Mouth,referral,2023-07-03,3082.93,957675,13469,276,11161.3
Official Website,web,2023-11-18,3265.7,694781,35619,4511,10897.2
Telegram Channel,social,2023-11-14,5199.34,838521,28309,3831,14408.65
Facebook Ads,ads,2024-07-19,9080.48,173062,33592,4244,17644.62
VK Group,social,2024-02-03,2346.38,337983,42313,1198,12531.59
University Ads,ads,2024-12-09,8433.76,540774,9469,3187,8795.3
Word of Mouth,referral,2023-10-20,3621.73,212174,42356,3230,2681.84
VK Group,social,2023-10-20,8277.28,472643,40917,2840,15889.58
Facebook Ads,ads,2024-04-29,9282.44,412262,13457,4976,3001.72
Email Campaign,email,2024-03-22,4847.44,957245,49101,712,14664.13
Facebook Ads,ads,2024-11-22,4285.46,986593,25570,1708,10794.54
HH.ru,job,2024-02-16,8219.99,277868,18983,210,8023.8
Facebook Ads,ads,2024-05-22,5765.35,975851,1429,4723,12453.23
HH.ru,job,2023-09-01,7160.04,663567,27150,3808,15560.94
Email Campaign,email,2024-02-24,6605.46,950168,31507,2023,18852.22
Google Ads,ads,2023-06-03,2376.0,80886,12638,4962,5661.59
HH.ru,job,2024-02-28,8603.11,744921,18934,3551,18969.04
University Ads,ads,2023-09-30,2761.98,103761,46921,2019,19238.49
Facebook Ads,ads,2024-10-08,9390.54,674524,47403,3515,16365.8
Facebook Ads,ads,2024-06-03,3255.14,767797,42229,3110,17688.02
University Ads,ads,2023-05-08,7604.93,648454,29846,4169,14002.34
Telegram Channel,social,2024-01-08,3561.9,567160,39925,3747,1262.4
Avito.ru,ads,2024-07-21,3860.07,754851,11731,1721,11714.03
Google Ads,ads,2024-09-29,3790.02,463095,43427,4356,15070.49
Word of Mouth,referral,2023-06-08,7731.03,843469,4394,1739,18863.21
HH.ru,job,2024-07-24,6011.34,819417,42524,3360,11623.81
